nome,nome_social,cpf,data_nascimento,naturalidade,sexo,nacionalidade,data_validade
Sr. Dom da Cruz,Sr. Dom da Cruz,615.024.873-90,11/02/2003,Almenara,F,Brasileiro(a),18/01/2033
Otto Gonçalves,Otto Gonçalves,267.819.450-76,02/05/1987,Rugim,M,Brasileiro(a),05/01/2030
Luana Pastor,Luana Pastor,894.260.137-50,16/08/1983,Porto Seguro,M,Brasileiro(a),23/06/2027
Sra. Natália Montenegro,Sra. Natália Montenegro,304.976.185-75,19/05/1954,São Paulo,F,Brasileiro(a),12/02/2032
Natália Araújo,Natália Araújo,280.736.419-50,02/11/1991,Porto Seguro,M,Brasileiro(a),09/11/2035
Joaquim Fogaça,Joaquim Fogaça,613.207.958-03,14/09/1956,Rugim,M,Brasileiro(a),10/06/2029
Srta. Clarice Lima,Srta. Clarice Lima,479.360.518-48,04/04/1999,Belo Horizonte,F,Brasileiro(a),07/06/2027
Pedro Henrique Sales,Pedro Henrique Sales,192.856.307-40,29/01/1981,Belo Horizonte,M,Brasileiro(a),09/01/2029
Julia Pereira,Julia Pereira,873.092.615-77,24/12/1992,Almenara,M,Brasileiro(a),27/11/2032
Sr. Caleb Teixeira,Sr. Caleb Teixeira,604.182.357-08,22/04/1966,Arinos,F,Brasileiro(a),21/04/2028
Gael Lima,Gael Lima,281.046.975-01,27/08/1947,Pedra Grande,M,Brasileiro(a),01/11/2034
Léo Aparecida,Léo Aparecida,978.103.526-95,19/01/1968,Arinos,F,Brasileiro(a),04/07/2034
Thales da Mota,Thales da Mota,273.801.465-80,29/12/1964,Pedra Grande,M,Brasileiro(a),27/12/2028
Zoe da Paz,Zoe da Paz,147.023.689-31,08/12/1966,Rugim,M,Brasileiro(a),17/02/2031
Apollo Garcia,Apollo Garcia,754.280.316-62,16/05/1949,São Paulo,M,Brasileiro(a),09/12/2029
Ana Clara Cunha,Ana Clara Cunha,408.913.267-31,18/10/1995,Pedra Grande,M,Brasileiro(a),10/05/2031
Lívia Andrade,Lívia Andrade,185.903.746-10,15/03/1973,Almenara,F,Brasileiro(a),04/11/2034
Apollo Farias,Apollo Farias,687.109.452-02,20/05/1985,Porto Seguro,F,Brasileiro(a),09/08/2030
Eloah Garcia,Eloah Garcia,125.096.438-51,17/12/1945,Almenara,M,Brasileiro(a),22/10/2034
Esther Pinto,Esther Pinto,017.483.925-14,27/09/1956,Belo Horizonte,F,Brasileiro(a),23/10/2028
Thales Viana,Thales Viana,936.142.085-24,06/10/1968,São Paulo,M,Brasileiro(a),21/04/2035
Bruno Souza,Bruno Souza,584.329.670-92,09/05/1961,Almenara,M,Brasileiro(a),09/12/2029
Jade Mendonça,Jade Mendonça,258.430.769-38,26/12/1944,Belo Horizonte,M,Brasileiro(a),09/10/2029
Liam Casa Grande,Liam Casa Grande,203.145.978-32,30/04/2006,Arinos,F,Brasileiro(a),15/10/2035
Sra. Emilly Rodrigues,Sra. Emilly Rodrigues,107.986.235-86,07/07/1995,Porto Seguro,M,Brasileiro(a),20/03/2032
Ana Lívia Alves,Ana Lívia Alves,370.468.152-08,23/07/1990,Porto Seguro,F,Brasileiro(a),10/09/2032
Sra. Daniela Freitas,Sra. Daniela Freitas,412.583.679-55,18/11/1962,Porto Seguro,M,Brasileiro(a),03/01/2031
Augusto Pinto,Augusto Pinto,057.498.612-01,11/10/1993,Rugim,M,Brasileiro(a),17/10/2032
Bernardo Barros,Bernardo Barros,693.421.708-03,08/09/1982,Arinos,M,Brasileiro(a),03/11/2027
Isadora Pimenta,Isadora Pimenta,418.027.396-96,21/07/1958,Arinos,M,Brasileiro(a),22/05/2028
Lavínia Fernandes,Lavínia Fernandes,735.261.948-82,09/12/1974,Pedra Grande,F,Brasileiro(a),19/02/2027
Isaac Carvalho,Isaac Carvalho,923.618.047-78,12/04/1988,Arinos,M,Brasileiro(a),09/10/2033
Breno da Cunha,Breno da Cunha,628.503.471-08,19/04/1985,Rugim,M,Brasileiro(a),20/07/2034
Caleb Almeida,Caleb Almeida,086.154.932-51,08/02/1962,Belo Horizonte,F,Brasileiro(a),26/04/2034
João Nunes,João Nunes,970.452.631-80,16/10/1972,Almenara,F,Brasileiro(a),15/04/2030
Henry Pinto,Henry Pinto,987.316.420-04,10/04/1953,Arinos,F,Brasileiro(a),25/02/2029
Hellena Silveira,Hellena Silveira,520.164.879-76,13/08/1975,Rugim,F,Brasileiro(a),15/10/2034
Vinicius Marques,Vinicius Marques,597.614.830-10,11/08/1991,Almenara,F,Brasileiro(a),26/10/2027
Mariane Pastor,Mariane Pastor,769.803.425-92,03/04/2001,São Paulo,F,Brasileiro(a),16/12/2028
Dra. Alice Nunes,Dra. Alice Nunes,846.291.370-50,20/01/1963,Porto Seguro,M,Brasileiro(a),06/11/2033
Caleb Pinto,Caleb Pinto,521.084.693-89,16/02/2005,Belo Horizonte,M,Brasileiro(a),22/06/2030
Levi da Cunha,Levi da Cunha,068.492.157-01,08/10/1992,Belo Horizonte,M,Brasileiro(a),14/04/2030
Milena Fogaça,Milena Fogaça,198.405.326-42,20/03/1994,Almenara,F,Brasileiro(a),12/08/2035
Dr. Ian Machado,Dr. Ian Machado,762.049.153-80,13/03/1997,Pedra Grande,M,Brasileiro(a),26/08/2033
Noah Silva,Noah Silva,851.206.934-15,20/03/1992,Belo Horizonte,F,Brasileiro(a),12/12/2031
Sofia Camargo,Sofia Camargo,914.378.260-40,25/02/1981,Almenara,F,Brasileiro(a),05/09/2034
Bruna Pinto,Bruna Pinto,153.987.406-01,05/05/1986,Almenara,F,Brasileiro(a),30/11/2029
Larissa Silva,Larissa Silva,906.453.821-24,30/06/1984,Porto Seguro,M,Brasileiro(a),19/11/2031
Joaquim Almeida,Joaquim Almeida,329.841.760-22,08/12/1964,Pedra Grande,F,Brasileiro(a),06/09/2028
Cecilia Casa Grande,Cecilia Casa Grande,417.890.532-50,25/10/1992,Porto Seguro,F,Brasileiro(a),06/03/2035
Sophia Cardoso,Sophia Cardoso,056.329.147-80,05/12/2001,Rugim,F,Brasileiro(a),30/07/2035
Brayan Fogaça,Brayan Fogaça,076.893.214-96,05/01/1950,Porto Seguro,F,Brasileiro(a),11/01/2031
Bruna Rocha,Bruna Rocha,270.835.469-83,01/12/1996,Arinos,M,Brasileiro(a),11/12/2029
Dr. Dom Barros,Dr. Dom Barros,397.120.865-77,16/02/2003,Rugim,F,Brasileiro(a),11/09/2029
Benjamin Correia,Benjamin Correia,980.517.463-84,20/03/1960,Pedra Grande,F,Brasileiro(a),29/07/2029
Igor Cardoso,Igor Cardoso,302.769.581-95,21/11/1960,Rugim,M,Brasileiro(a),15/10/2027
Sra. Bárbara Camargo,Sra. Bárbara Camargo,186.493.572-37,26/11/1965,Porto Seguro,F,Brasileiro(a),16/05/2033
Levi Brito,Levi Brito,326.075.189-03,29/07/1950,Rugim,M,Brasileiro(a),22/01/2029
Bella Fogaça,Bella Fogaça,076.418.925-58,12/01/1966,São Paulo,F,Brasileiro(a),02/11/2032
Maria Cecília Martins,Maria Cecília Martins,620.315.849-60,31/08/2004,Arinos,F,Brasileiro(a),01/04/2028
Enzo Mendonça,Enzo Mendonça,701.469.538-00,03/11/1956,Pedra Grande,F,Brasileiro(a),19/01/2031
Maria Eduarda Machado,Maria Eduarda Machado,065.478.912-67,19/11/2000,São Paulo,F,Brasileiro(a),05/04/2029
Ana Clara Gomes,Ana Clara Gomes,671.283.405-80,19/05/1978,Belo Horizonte,M,Brasileiro(a),04/09/2029
Rebeca Moreira,Rebeca Moreira,478.013.526-53,17/08/1984,Almenara,F,Brasileiro(a),08/10/2028
Lucas Siqueira,Lucas Siqueira,089.245.163-70,02/10/2002,Pedra Grande,M,Brasileiro(a),01/12/2029
Dr. Daniel Pastor,Dr. Daniel Pastor,973.184.620-40,24/05/1955,Porto Seguro,M,Brasileiro(a),05/05/2033
Léo da Paz,Léo da Paz,685.207.134-08,22/07/1952,Arinos,M,Brasileiro(a),03/09/2029
Yuri Fogaça,Yuri Fogaça,487.015.632-62,30/04/1947,Arinos,F,Brasileiro(a),20/06/2029
Renan Novais,Renan Novais,127.849.063-96,10/12/1982,Almenara,M,Brasileiro(a),05/01/2033
Bárbara Moura,Bárbara Moura,513.940.627-61,13/08/1983,Rugim,M,Brasileiro(a),13/04/2030
Eloá Oliveira,Eloá Oliveira,417.892.560-11,15/09/1979,Belo Horizonte,M,Brasileiro(a),06/06/2028
Ana Sophia Duarte,Ana Sophia Duarte,697.152.043-25,30/12/1976,Almenara,F,Brasileiro(a),31/08/2029
Clara das Neves,Clara das Neves,915.348.276-09,24/02/2006,Arinos,F,Brasileiro(a),01/01/2028
Sr. Davi Lucca Aragão,Sr. Davi Lucca Aragão,172.680.934-03,10/11/1993,Arinos,F,Brasileiro(a),30/01/2028
Ana Cassiano,Ana Cassiano,873.642.951-19,16/12/1994,São Paulo,M,Brasileiro(a),30/10/2034
Theo Vieira,Theo Vieira,091.438.576-39,10/12/1981,São Paulo,M,Brasileiro(a),30/12/2033
Davi da Cunha,Davi da Cunha,913.875.240-97,10/10/2003,Belo Horizonte,M,Brasileiro(a),10/10/2029
Enrico Cirino,Enrico Cirino,597.023.146-07,09/06/2000,São Paulo,F,Brasileiro(a),22/09/2033
Dr. Thales da Rosa,Dr. Thales da Rosa,276.905.143-16,09/04/1988,Porto Seguro,M,Brasileiro(a),06/03/2030
Ryan Almeida,Ryan Almeida,306.719.284-22,09/05/1955,Pedra Grande,M,Brasileiro(a),28/12/2034
Maria Isis da Conceição,Maria Isis da Conceição,315.208.976-77,13/07/1959,São Paulo,M,Brasileiro(a),09/03/2028
Noah Nogueira,Noah Nogueira,830.612.954-70,26/10/1991,Porto Seguro,M,Brasileiro(a),18/01/2028
Jade Rodrigues,Jade Rodrigues,870.935.641-00,29/11/1977,Arinos,M,Brasileiro(a),26/01/2034
Rodrigo Pimenta,Rodrigo Pimenta,051.463.789-75,16/04/1997,Belo Horizonte,F,Brasileiro(a),19/12/2027
Emanuella da Rosa,Emanuella da Rosa,184.073.526-08,27/05/1977,Arinos,M,Brasileiro(a),23/02/2029
Dr. José Miguel Casa Grande,Dr. José Miguel Casa Grande,463.078.591-48,11/08/1991,Almenara,M,Brasileiro(a),31/03/2027
Ana Lívia Costa,Ana Lívia Costa,748.015.962-58,18/09/1980,São Paulo,F,Brasileiro(a),18/09/2029
Diogo Leão,Diogo Leão,380.547.692-29,11/07/1988,São Paulo,F,Brasileiro(a),04/03/2031
Maria Fernanda Cunha,Maria Fernanda Cunha,134.257.069-34,27/11/1975,Rugim,F,Brasileiro(a),28/12/2034
Letícia Pereira,Letícia Pereira,786.954.312-82,03/05/1982,Porto Seguro,M,Brasileiro(a),15/10/2029
Clarice da Rosa,Clarice da Rosa,506.947.823-00,01/09/1993,Arinos,F,Brasileiro(a),01/12/2028
Sra. Ana Júlia Dias,Sra. Ana Júlia Dias,653.871.092-12,07/11/1964,Rugim,F,Brasileiro(a),07/10/2027
Jade Cassiano,Jade Cassiano,419.786.325-09,18/08/1969,Arinos,F,Brasileiro(a),24/02/2032
Isabel Dias,Isabel Dias,294.167.308-31,10/01/1981,Arinos,F,Brasileiro(a),03/12/2030
Amanda Brito,Amanda Brito,036.952.814-05,20/10/1965,Arinos,F,Brasileiro(a),24/02/2028
Ravy Teixeira,Ravy Teixeira,273.965.180-59,05/04/1960,Rugim,M,Brasileiro(a),03/05/2032
Benjamim da Rocha,Benjamim da Rocha,615.074.382-90,26/04/1991,Belo Horizonte,F,Brasileiro(a),31/03/2027
Valentim Caldeira,Valentim Caldeira,763.410.285-71,14/08/1991,Porto Seguro,F,Brasileiro(a),12/05/2027
Dra. Maria Sophia Cassiano,Dra. Maria Sophia Cassiano,719.382.054-05,29/10/1981,São Paulo,F,Brasileiro(a),12/05/2034
Josué Viana,Josué Viana,470.538.692-29,09/04/1962,Arinos,F,Brasileiro(a),14/11/2029
Caio Almeida,Caio Almeida,807.945.632-10,15/07/1995,São Paulo,F,Brasileiro(a),05/07/2031
Henrique Costela,Henrique Costela,405.378.962-10,07/07/1964,Pedra Grande,F,Brasileiro(a),02/01/2031
Srta. Maria Cecília Pereira,Srta. Maria Cecília Pereira,632.401.978-04,18/10/1964,Almenara,F,Brasileiro(a),30/09/2035
Lucas Gabriel Macedo,Lucas Gabriel Macedo,783.104.529-50,02/10/1965,Pedra Grande,M,Brasileiro(a),07/06/2035
Stella Melo,Stella Melo,435.781.620-35,11/02/1996,São Paulo,M,Brasileiro(a),31/05/2030
Sr. Raul Ribeiro,Sr. Raul Ribeiro,251.076.894-85,04/11/1948,Pedra Grande,F,Brasileiro(a),29/05/2033
Luiz Fernando Ramos,Luiz Fernando Ramos,950.417.283-05,18/04/1985,São Paulo,F,Brasileiro(a),23/05/2033
Davi Miguel Cassiano,Davi Miguel Cassiano,402.183.957-79,08/05/1995,Arinos,F,Brasileiro(a),11/08/2031
Davi Miguel Farias,Davi Miguel Farias,753.204.618-44,29/01/1997,Almenara,M,Brasileiro(a),30/07/2034
Alexandre Guerra,Alexandre Guerra,592.068.713-40,26/01/2002,São Paulo,F,Brasileiro(a),29/07/2031
Bianca Lima,Bianca Lima,127.905.348-88,20/03/1966,São Paulo,F,Brasileiro(a),07/08/2030
Thales Jesus,Thales Jesus,154.287.693-19,13/08/1964,Rugim,M,Brasileiro(a),15/01/2035
Sr. Isaac Azevedo,Sr. Isaac Azevedo,281.657.940-94,24/07/1946,Arinos,F,Brasileiro(a),01/10/2033
Benicio Caldeira,Benicio Caldeira,467.358.921-19,22/06/2003,Arinos,F,Brasileiro(a),18/06/2029
Nathan Azevedo,Nathan Azevedo,470.285.963-38,18/11/1949,Rugim,M,Brasileiro(a),01/04/2032
João Vitor Costa,João Vitor Costa,509.618.342-42,04/02/1990,Almenara,F,Brasileiro(a),27/05/2033
Kamilly Moura,Kamilly Moura,315.084.976-48,26/10/1980,São Paulo,F,Brasileiro(a),08/11/2027
Mathias Nascimento,Mathias Nascimento,310.578.269-95,14/10/1966,Porto Seguro,F,Brasileiro(a),06/08/2032
Dra. Beatriz Borges,Dra. Beatriz Borges,678.401.239-96,16/07/1998,Pedra Grande,M,Brasileiro(a),25/06/2027
Yasmin Rodrigues,Yasmin Rodrigues,108.976.235-68,27/03/1950,Almenara,F,Brasileiro(a),04/08/2033
Gabriela da Rocha,Gabriela da Rocha,546.790.123-07,20/01/1995,Arinos,M,Brasileiro(a),18/07/2028
Natália Sales,Natália Sales,940.672.315-80,30/07/1998,Porto Seguro,M,Brasileiro(a),27/01/2028
Laís da Mota,Laís da Mota,860.531.729-95,18/03/1991,Porto Seguro,F,Brasileiro(a),15/01/2028
Benício Borges,Benício Borges,078.956.431-93,14/06/2000,Pedra Grande,M,Brasileiro(a),20/07/2030
Ana Lívia Moreira,Ana Lívia Moreira,536.804.921-89,16/09/1982,Pedra Grande,M,Brasileiro(a),23/09/2031
Milena Silva,Milena Silva,109.265.847-58,28/05/1967,Arinos,F,Brasileiro(a),15/07/2032
Bárbara Martins,Bárbara Martins,057.821.643-44,21/01/1989,Arinos,M,Brasileiro(a),07/09/2030
Maria Vitória Porto,Maria Vitória Porto,294.857.163-46,03/05/1946,Arinos,M,Brasileiro(a),13/02/2033
Rael Pereira,Rael Pereira,350.274.968-00,12/05/1980,Almenara,F,Brasileiro(a),16/10/2030
Lara Nascimento,Lara Nascimento,918.023.475-50,25/05/1953,Belo Horizonte,F,Brasileiro(a),31/05/2029
Laura Sales,Laura Sales,298.413.057-04,02/05/1976,Arinos,F,Brasileiro(a),09/08/2030
Laís Correia,Laís Correia,214.983.765-09,05/04/1962,Almenara,M,Brasileiro(a),13/07/2034
Maria Julia Leão,Maria Julia Leão,128.650.739-12,31/10/2000,Belo Horizonte,M,Brasileiro(a),01/03/2033
Dra. Alice Pires,Dra. Alice Pires,461.592.073-34,11/02/1960,Almenara,M,Brasileiro(a),15/09/2035
Marcos Vinicius Almeida,Marcos Vinicius Almeida,563.908.472-38,13/07/1998,Almenara,F,Brasileiro(a),14/07/2032
Isaac Câmara,Isaac Câmara,879.362.015-21,22/05/1980,Porto Seguro,M,Brasileiro(a),17/10/2031
Pietra Cavalcanti,Pietra Cavalcanti,721.350.864-44,21/07/1945,São Paulo,M,Brasileiro(a),11/03/2027
Bento Monteiro,Bento Monteiro,734.890.125-50,30/07/1953,Belo Horizonte,M,Brasileiro(a),27/08/2031
Clara Carvalho,Clara Carvalho,569.418.037-20,12/05/1983,Porto Seguro,F,Brasileiro(a),22/08/2030
Léo Vargas,Léo Vargas,042.958.371-05,17/01/2003,Rugim,F,Brasileiro(a),19/11/2027
Luiza Souza,Luiza Souza,197.358.206-68,17/09/1964,Pedra Grande,F,Brasileiro(a),10/09/2032
Dra. Isabelly Sales,Dra. Isabelly Sales,390.152.874-14,23/12/1969,Arinos,F,Brasileiro(a),18/05/2032
Sara Mendes,Sara Mendes,964.318.702-04,09/07/1964,Arinos,F,Brasileiro(a),24/02/2033
Emanuelly Moreira,Emanuelly Moreira,128.905.367-77,09/02/1951,Arinos,F,Brasileiro(a),09/06/2035
Maitê Câmara,Maitê Câmara,806.951.473-66,19/05/1992,São Paulo,F,Brasileiro(a),04/12/2030
Calebe da Cunha,Calebe da Cunha,184.670.523-17,23/07/1975,Arinos,F,Brasileiro(a),30/08/2032
Théo Novaes,Théo Novaes,524.371.908-05,11/09/1976,Belo Horizonte,F,Brasileiro(a),05/06/2031
João Guilherme Sá,João Guilherme Sá,945.380.621-89,28/02/1947,Almenara,F,Brasileiro(a),24/11/2027
Cauê Freitas,Cauê Freitas,309.856.271-40,07/11/1983,Arinos,M,Brasileiro(a),14/04/2035
Eloah Machado,Eloah Machado,306.789.251-86,02/02/1953,Almenara,F,Brasileiro(a),01/11/2035
Mariana Fonseca,Mariana Fonseca,276.815.390-77,18/11/1951,São Paulo,M,Brasileiro(a),01/09/2035
Srta. Alexia Fonseca,Srta. Alexia Fonseca,820.431.597-04,13/03/2002,Belo Horizonte,F,Brasileiro(a),23/03/2028
Anthony Vieira,Anthony Vieira,794.153.820-23,31/03/1947,Almenara,F,Brasileiro(a),01/05/2033
Ian Abreu,Ian Abreu,860.173.295-02,16/05/1964,São Paulo,F,Brasileiro(a),18/12/2028
Fernando Cassiano,Fernando Cassiano,689.071.325-77,23/03/1993,Belo Horizonte,F,Brasileiro(a),03/01/2035
Joaquim Ramos,Joaquim Ramos,127.463.059-25,26/04/1966,Arinos,M,Brasileiro(a),01/04/2027
Alexandre Fonseca,Alexandre Fonseca,920.451.683-60,05/01/1977,Almenara,F,Brasileiro(a),26/03/2029
Aylla Sales,Aylla Sales,435.780.261-07,22/07/1984,Arinos,M,Brasileiro(a),24/08/2034
Henry Gabriel Jesus,Henry Gabriel Jesus,640.253.798-56,22/11/2003,Belo Horizonte,M,Brasileiro(a),29/02/2032
Luana Pereira,Luana Pereira,547.029.618-02,05/08/2006,Porto Seguro,F,Brasileiro(a),12/09/2029
Dra. Ana Beatriz Gomes,Dra. Ana Beatriz Gomes,276.934.501-06,15/03/2005,Almenara,M,Brasileiro(a),04/09/2027
José Cardoso,José Cardoso,265.713.948-55,07/06/1993,Rugim,F,Brasileiro(a),06/09/2028
Ana Luiza Nascimento,Ana Luiza Nascimento,850.613.794-20,20/03/1987,São Paulo,F,Brasileiro(a),10/05/2030
Antony Guerra,Antony Guerra,679.213.045-16,16/05/2007,São Paulo,F,Brasileiro(a),11/01/2035
Sra. Manuella Fogaça,Sra. Manuella Fogaça,198.042.356-33,14/02/1961,Belo Horizonte,F,Brasileiro(a),21/05/2028
Raquel Peixoto,Raquel Peixoto,912.583.460-60,06/07/1999,Pedra Grande,M,Brasileiro(a),01/12/2028
Ana Silva,Ana Silva,065.312.987-40,30/06/1961,Porto Seguro,F,Brasileiro(a),21/07/2032
Liz Correia,Liz Correia,257.196.384-82,07/03/1978,Arinos,F,Brasileiro(a),24/12/2031
Benício Marques,Benício Marques,643.750.218-53,11/09/1996,Rugim,M,Brasileiro(a),14/08/2034
Ana Cecília Moraes,Ana Cecília Moraes,016.297.483-31,11/03/1989,Arinos,F,Brasileiro(a),28/08/2034
Erick Melo,Erick Melo,572.384.619-19,15/01/1981,Belo Horizonte,F,Brasileiro(a),27/04/2035
Ana Liz Pimenta,Ana Liz Pimenta,721.640.938-87,10/11/1998,Rugim,M,Brasileiro(a),15/11/2033
Ágatha da Cruz,Ágatha da Cruz,375.602.148-35,23/02/1964,Porto Seguro,F,Brasileiro(a),21/07/2028
Lorena Mendes,Lorena Mendes,723.580.164-62,29/08/2006,São Paulo,F,Brasileiro(a),17/02/2029
José Pinto,José Pinto,830.971.526-95,01/10/1947,Rugim,M,Brasileiro(a),09/05/2033
Theodoro Barbosa,Theodoro Barbosa,829.431.507-97,21/04/2002,Rugim,M,Brasileiro(a),30/12/2026
Vinícius Cassiano,Vinícius Cassiano,683.297.140-04,21/01/1961,Arinos,M,Brasileiro(a),11/07/2033
Marcos Vinicius Melo,Marcos Vinicius Melo,612.598.340-42,24/12/1976,Arinos,M,Brasileiro(a),21/01/2028
Diego Barros,Diego Barros,657.128.493-64,12/06/2002,Arinos,F,Brasileiro(a),21/12/2033
Ana Nascimento,Ana Nascimento,790.135.684-75,09/12/1972,Rugim,M,Brasileiro(a),23/01/2029
Arthur Silva,Arthur Silva,582.103.746-80,12/10/2002,Arinos,F,Brasileiro(a),04/07/2034
Isadora Machado,Isadora Machado,035.764.291-07,08/07/1957,Almenara,F,Brasileiro(a),06/06/2032
José Miguel Câmara,José Miguel Câmara,859.276.041-02,24/06/2001,Almenara,M,Brasileiro(a),19/04/2031
Sr. Benicio Teixeira,Sr. Benicio Teixeira,127.934.860-78,23/09/2007,Porto Seguro,F,Brasileiro(a),17/12/2030
Olívia Nogueira,Olívia Nogueira,794.286.031-04,29/08/1983,São Paulo,F,Brasileiro(a),14/12/2031
Nicole Gomes,Nicole Gomes,046.271.839-50,08/12/1971,Rugim,F,Brasileiro(a),04/12/2026
Dr. Mathias Silveira,Dr. Mathias Silveira,841.927.305-88,02/06/2005,Arinos,M,Brasileiro(a),01/05/2033
João Miguel Novaes,João Miguel Novaes,531.798.064-00,31/01/1983,Belo Horizonte,F,Brasileiro(a),06/02/2030
Sarah Moreira,Sarah Moreira,852.947.631-09,19/11/2006,São Paulo,F,Brasileiro(a),26/04/2027
Vitor Gabriel Barbosa,Vitor Gabriel Barbosa,975.402.138-41,21/09/1982,Almenara,F,Brasileiro(a),05/05/2031
Luana Peixoto,Luana Peixoto,621.807.395-59,19/07/1975,São Paulo,M,Brasileiro(a),08/09/2028
Nicole Mendonça,Nicole Mendonça,038.652.971-02,05/11/2007,Arinos,M,Brasileiro(a),03/09/2033
Sabrina Monteiro,Sabrina Monteiro,193.025.468-70,04/05/1950,São Paulo,M,Brasileiro(a),01/09/2027
Sr. Dom Cirino,Sr. Dom Cirino,349.618.705-01,25/10/1978,São Paulo,F,Brasileiro(a),10/02/2028
Apollo Machado,Apollo Machado,301.459.682-51,30/09/1962,São Paulo,F,Brasileiro(a),21/05/2030
Isaque Ribeiro,Isaque Ribeiro,017.428.953-79,12/02/1946,Porto Seguro,M,Brasileiro(a),14/02/2035
Maria Alice Vargas,Maria Alice Vargas,407.896.321-87,28/06/1945,Porto Seguro,M,Brasileiro(a),06/02/2030
Marcos Vinicius Barbosa,Marcos Vinicius Barbosa,364.217.850-26,05/03/1952,Rugim,M,Brasileiro(a),03/01/2033
Camila Sampaio,Camila Sampaio,214.638.059-42,23/06/2004,São Paulo,M,Brasileiro(a),19/03/2032
Breno Sousa,Breno Sousa,536.417.028-44,28/11/1969,Rugim,M,Brasileiro(a),03/12/2033
Eduardo Costa,Eduardo Costa,204.178.396-69,13/11/1966,Arinos,F,Brasileiro(a),07/08/2028
Sophia Leão,Sophia Leão,620.817.943-22,22/09/1964,Porto Seguro,M,Brasileiro(a),20/06/2032
Sr. Benjamim Siqueira,Sr. Benjamim Siqueira,681.392.054-51,19/07/1995,Belo Horizonte,M,Brasileiro(a),18/06/2030
Aurora Sousa,Aurora Sousa,981.063.742-03,09/07/1976,Rugim,F,Brasileiro(a),24/08/2027
Dr. Davi Luiz Guerra,Dr. Davi Luiz Guerra,408.276.391-04,16/12/1963,Pedra Grande,M,Brasileiro(a),26/09/2035
Alícia Sales,Alícia Sales,912.354.687-55,02/07/2005,Almenara,F,Brasileiro(a),24/01/2035
Mateus Teixeira,Mateus Teixeira,763.540.819-48,04/05/1963,Arinos,F,Brasileiro(a),26/12/2028
Arthur Gabriel Cavalcanti,Arthur Gabriel Cavalcanti,287.316.054-35,09/01/1979,Belo Horizonte,F,Brasileiro(a),04/11/2033
